"Date","Price","Open","High","Low","Vol.","Change %"
"06/17/2020","282,500","283,000","286,000","278,100","8.35K","-0.18%"
"06/16/2020","283,000","277,800","283,200","275,000","7.51K","1.87%"
"06/15/2020","277,800","279,100","280,500","263,700","17.48K","-0.47%"
"06/14/2020","279,100","286,300","286,600","277,400","12.57K","-2.51%"
"06/13/2020","286,300","285,900","286,700","283,300","4.15K","0.14%"
"06/12/2020","285,900","275,200","287,300","273,000","6.04K","3.89%"
"06/11/2020","275,200","294,100","296,300","274,900","51.07K","-6.43%"
"06/10/2020","294,100","291,700","294,800","288,900","14.74K","0.82%"
"06/09/2020","291,700","294,000","297,800","288,300","10.70K","-0.71%"
"06/08/2020","293,800","292,900","295,400","289,200","14.25K","0.27%"
"06/07/2020","293,000","290,900","294,100","284,100","16.51K","0.72%"
"06/06/2020","290,900","289,100","293,300","287,100","7.43K","0.62%"
"06/05/2020","289,100","292,900","296,600","288,300","16.32K","-1.20%"
"06/04/2020","292,600","295,000","298,200","286,200","16.20K","-0.95%"
"06/03/2020","295,400","288,200","295,400","282,900","11.91K","2.50%"
"06/02/2020","288,200","293,900","301,800","275,700","44.25K","-1.81%"
"06/01/2020","293,500","280,300","297,000","279,400","31.02K","4.71%"
"05/31/2020","280,300","291,400","294,000","278,500","25.10K","-3.68%"
"05/30/2020","291,000","267,000","295,200","265,000","36.09K","8.99%"
"05/29/2020","267,000","266,100","270,700","262,300","11.43K","0.34%"
"05/28/2020","266,100","252,500","266,100","249,700","26.57K","5.39%"
"05/27/2020","252,500","244,000","252,900","243,800","10.64K","3.48%"
"05/26/2020","244,000","248,400","248,900","239,800","17.79K","-1.77%"
"05/25/2020","248,400","244,000","249,500","242,500","9.00K","1.64%"
"05/24/2020","244,400","250,400","254,600","244,100","22.96K","-2.40%"
"05/23/2020","250,400","251,400","255,900","248,900","5.54K","-0.40%"
"05/22/2020","251,400","243,100","254,100","239,000","16.40K","3.41%"
"05/21/2020","243,100","254,300","256,300","235,000","34.34K","-4.40%"
"05/20/2020","254,300","257,500","258,000","250,400","22.99K","-1.24%"
"05/19/2020","257,500","258,300","258,700","253,300","9.62K","-0.31%"
"05/18/2020","258,300","248,500","259,300","248,300","10.83K","3.94%"
"05/17/2020","248,500","241,600","251,100","241,100","15.42K","2.86%"
"05/16/2020","241,600","236,800","245,300","235,100","9.73K","2.03%"
"05/15/2020","236,800","244,500","245,300","234,700","16.17K","-3.15%"
"05/14/2020","244,500","241,800","248,000","237,300","18.99K","1.12%"
"05/13/2020","241,800","230,300","242,400","228,200","25.64K","4.99%"
"05/12/2020","230,300","226,400","232,700","226,100","16.23K","1.81%"
"05/11/2020","226,200","229,700","237,500","217,900","43.93K","-1.69%"
