"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 07- 21","38,862,000","38,536,000","38,900,000","38,501,000","0.23K","0.86%"
"2023- 07- 20","38,531,000","38,307,000","39,037,000","38,272,000","0.46K","0.61%"
"2023- 07- 19","38,299,000","38,338,000","38,792,000","38,233,000","0.57K","-0.10%"
"2023- 07- 18","38,338,000","38,719,000","38,756,000","38,100,000","0.38K","-0.98%"
"2023- 07- 17","38,719,000","38,941,000","38,966,000","38,288,000","0.51K","-0.57%"
"2023- 07- 16","38,941,000","38,883,000","39,109,000","38,655,000","0.27K","0.15%"
"2023- 07- 15","38,883,000","39,067,000","39,083,000","38,733,000","0.27K","-0.47%"
"2023- 07- 14","39,067,000","39,938,000","40,053,000","38,705,000","1.00K","-2.20%"
"2023- 07- 13","39,947,000","39,782,000","40,197,000","39,319,000","1.84K","0.41%"
"2023- 07- 12","39,782,000","40,101,000","40,498,000","39,665,000","0.45K","-0.80%"
"2023- 07- 11","40,101,000","40,042,000","40,352,000","39,880,000","0.20K","0.15%"
"2023- 07- 10","40,042,000","39,785,000","40,752,000","39,637,000","0.45K","0.66%"
"2023- 07- 09","39,778,000","40,110,000","40,200,000","39,730,000","0.17K","-0.83%"
"2023- 07- 08","40,110,000","40,206,000","40,206,000","39,886,000","0.10K","-0.24%"
"2023- 07- 07","40,206,000","39,869,000","40,300,000","39,717,000","0.14K","0.85%"
"2023- 07- 06","39,869,000","40,394,000","41,448,000","39,819,000","0.55K","-1.32%"
"2023- 07- 05","40,402,000","40,599,000","40,727,000","39,791,000","0.36K","-0.49%"
"2023- 07- 04","40,602,000","41,159,000","41,340,000","40,500,000","0.30K","-1.34%"
"2023- 07- 03","41,155,000","40,619,000","41,346,000","40,453,000","0.48K","1.32%"
"2023- 07- 02","40,618,000","40,710,000","40,816,000","40,247,000","0.21K","-0.20%"
"2023- 07- 01","40,701,000","40,561,000","40,826,000","40,353,000","0.11K","0.33%"
"2023- 06- 30","40,566,000","40,579,000","41,490,000","39,561,000","0.40K","0.00%"
"2023- 06- 29","40,564,000","39,961,000","40,999,000","39,952,000","0.24K","1.49%"
"2023- 06- 28","39,970,000","40,537,000","40,559,000","39,921,000","0.34K","-1.39%"
"2023- 06- 27","40,535,000","40,059,000","40,893,000","39,977,000","0.19K","1.19%"
"2023- 06- 26","40,059,000","40,350,000","40,550,000","39,569,000","0.29K","-0.72%"
"2023- 06- 25","40,350,000","40,652,000","41,355,000","40,210,000","0.25K","-0.74%"
"2023- 06- 24","40,652,000","40,640,000","40,887,000","40,377,000","0.29K","0.04%"
"2023- 06- 23","40,635,000","39,102,000","41,367,000","39,102,000","0.72K","3.93%"
"2023- 06- 22","39,100,000","39,134,000","39,788,000","38,925,000","0.32K","-0.09%"
"2023- 06- 21","39,136,000","36,966,000","40,000,000","36,878,000","0.97K","5.91%"
"2023- 06- 20","36,952,000","35,071,000","37,085,000","34,976,000","0.80K","5.36%"
"2023- 06- 19","35,072,000","34,408,000","35,300,000","34,394,000","0.40K","1.94%"
"2023- 06- 18","34,405,000","34,748,000","34,921,000","34,405,000","0.20K","-0.99%"
"2023- 06- 17","34,748,000","34,481,000","34,995,000","34,274,000","0.18K","0.77%"
"2023- 06- 16","34,481,000","33,400,000","34,662,000","33,136,000","0.54K","3.24%"
"2023- 06- 15","33,398,000","32,939,000","33,570,000","32,452,000","0.44K","1.40%"
"2023- 06- 14","32,938,000","33,880,000","34,072,000","32,689,000","0.67K","-2.74%"
"2023- 06- 13","33,866,000","34,054,000","34,550,000","33,723,000","0.40K","-0.57%"
"2023- 06- 12","34,061,000","34,307,000","34,430,000","33,888,000","0.27K","-0.70%"
"2023- 06- 11","34,300,000","34,329,000","34,582,000","33,992,000","0.33K","-0.08%"
"2023- 06- 10","34,329,000","34,821,000","34,859,000","33,800,000","0.35K","-1.38%"
"2023- 06- 09","34,810,000","34,937,000","35,118,000","34,753,000","0.25K","-0.36%"
"2023- 06- 08","34,937,000","34,925,000","35,350,000","34,778,000","0.25K","0.03%"
"2023- 06- 07","34,925,000","35,816,000","35,969,000","34,760,000","0.32K","-2.50%"
"2023- 06- 06","35,821,000","34,300,000","35,970,000","33,619,000","0.57K","4.45%"
"2023- 06- 05","34,295,000","35,862,000","35,881,000","33,825,000","0.79K","-4.39%"
"2023- 06- 04","35,870,000","35,866,000","36,079,000","35,793,000","0.26K","0.01%"
"2023- 06- 03","35,866,000","36,085,000","36,105,000","35,776,000","0.13K","-0.61%"
"2023- 06- 02","36,085,000","35,801,000","36,124,000","35,450,000","0.21K","0.78%"
"2023- 06- 01","35,804,000","36,346,000","36,482,000","35,701,000","0.25K","-1.49%"
"2023- 05- 31","36,346,000","36,859,000","36,998,000","36,030,000","0.24K","-1.39%"
"2023- 05- 30","36,859,000","36,950,000","37,377,000","36,790,000","0.26K","-0.25%"
"2023- 05- 29","36,950,000","37,345,000","37,844,000","36,782,000","0.23K","-1.06%"
"2023- 05- 28","37,345,000","35,854,000","37,500,000","35,790,000","0.37K","4.15%"
"2023- 05- 27","35,856,000","35,746,000","35,884,000","35,612,000","0.13K","0.31%"
"2023- 05- 26","35,746,000","35,533,000","36,099,000","35,260,000","0.23K","0.60%"
"2023- 05- 25","35,533,000","35,402,000","35,596,000","34,933,000","0.20K","0.34%"
"2023- 05- 24","35,412,000","36,324,000","36,389,000","35,094,000","0.37K","-2.51%"
"2023- 05- 23","36,324,000","35,924,000","36,628,000","35,819,000","0.16K","1.11%"
"2023- 05- 22","35,924,000","36,027,000","36,172,000","35,683,000","0.15K","-0.27%"
"2023- 05- 21","36,023,000","36,398,000","36,590,000","36,016,000","0.17K","-1.03%"
"2023- 05- 20","36,398,000","36,152,000","36,454,000","36,125,000","0.12K","0.68%"
"2023- 05- 19","36,152,000","36,191,000","36,465,000","35,907,000","0.22K","-0.12%"
